team.id,jerseyNumber,id,fullName,link,position.code,position.name,position.type
1,45,8473541,Jonathan Bernier,/api/v1/people/8473541,G,Goalie,Goalie
1,6,8478507,John Marino,/api/v1/people/8478507,D,Defenseman,Defenseman
1,14,8479414,Nathan Bastian,/api/v1/people/8479414,R,Right Wing,Forward
1,12,8481740,Tyce Thompson,/api/v1/people/8481740,R,Right Wing,Forward
1,2,8474090,Brendan Smith,/api/v1/people/8474090,D,Defenseman,Defenseman
1,90,8475193,Tomas Tatar,/api/v1/people/8475193,L,Left Wing,Forward
1,56,8475287,Erik Haula,/api/v1/people/8475287,L,Left Wing,Forward
1,18,8476292,Ondrej Palat,/api/v1/people/8476292,L,Left Wing,Forward
1,7,8476462,Dougie Hamilton,/api/v1/people/8476462,D,Defenseman,Defenseman
1,28,8476923,Damon Severson,/api/v1/people/8476923,D,Defenseman,Defenseman
1,44,8477425,Miles Wood,/api/v1/people/8477425,L,Left Wing,Forward
1,33,8477435,Ryan Graves,/api/v1/people/8477435,D,Defenseman,Defenseman
1,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie
1,71,8478399,Jonas Siegenthaler,/api/v1/people/8478399,D,Defenseman,Defenseman
1,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie
1,63,8479407,Jesper Bratt,/api/v1/people/8479407,L,Left Wing,Forward
1,20,8479415,Michael McLeod,/api/v1/people/8479415,C,Center,Forward
1,13,8480002,Nico Hischier,/api/v1/people/8480002,C,Center,Forward
1,70,8480003,Jesper Boqvist,/api/v1/people/8480003,C,Center,Forward
1,49,8480188,Fabian Zetterlund,/api/v1/people/8480188,L,Left Wing,Forward
1,88,8480860,Kevin Bahl,/api/v1/people/8480860,D,Defenseman,Defenseman
1,17,8481068,Yegor Sharangovich,/api/v1/people/8481068,C,Center,Forward
1,82,8481537,Nikita Okhotiuk,/api/v1/people/8481537,D,Defenseman,Defenseman
1,86,8481559,Jack Hughes,/api/v1/people/8481559,C,Center,Forward
1,91,8482110,Dawson Mercer,/api/v1/people/8482110,C,Center,Forward
1,10,8482125,Alexander Holtz,/api/v1/people/8482125,R,Right Wing,Forward
2,21,8475151,Kyle Palmieri,/api/v1/people/8475151,C,Center,Forward
2,3,8476917,Adam Pelech,/api/v1/people/8476917,D,Defenseman,Defenseman
2,26,8480789,Oliver Wahlstrom,/api/v1/people/8480789,R,Right Wing,Forward
2,11,8470610,Zach Parise,/api/v1/people/8470610,L,Left Wing,Forward
2,15,8473504,Cal Clutterbuck,/api/v1/people/8473504,R,Right Wing,Forward
2,40,8473575,Semyon Varlamov,/api/v1/people/8473575,G,Goalie,Goalie
2,12,8474573,Josh Bailey,/api/v1/people/8474573,R,Right Wing,Forward
2,17,8474709,Matt Martin,/api/v1/people/8474709,L,Left Wing,Forward
2,53,8475231,Casey Cizikas,/api/v1/people/8475231,C,Center,Forward
2,27,8475314,Anders Lee,/api/v1/people/8475314,L,Left Wing,Forward
2,29,8475754,Brock Nelson,/api/v1/people/8475754,C,Center,Forward
2,44,8476419,Jean-Gabriel Pageau,/api/v1/people/8476419,C,Center,Forward
2,24,8476429,Scott Mayfield,/api/v1/people/8476429,D,Defenseman,Defenseman
2,20,8477392,Hudson Fasching,/api/v1/people/8477392,R,Right Wing,Forward
2,6,8477506,Ryan Pulock,/api/v1/people/8477506,D,Defenseman,Defenseman
2,32,8477527,Ross Johnston,/api/v1/people/8477527,L,Left Wing,Forward
2,30,8478009,Ilya Sorokin,/api/v1/people/8478009,G,Goalie,Goalie
2,13,8478445,Mathew Barzal,/api/v1/people/8478445,C,Center,Forward
2,38,8478450,Parker Wotherspoon,/api/v1/people/8478450,D,Defenseman,Defenseman
2,18,8478463,Anthony Beauvillier,/api/v1/people/8478463,L,Left Wing,Forward
2,25,8480222,Sebastian Aho,/api/v1/people/8480222,D,Defenseman,Defenseman
2,8,8480865,Noah Dobson,/api/v1/people/8480865,D,Defenseman,Defenseman
2,28,8481014,Alexander Romanov,/api/v1/people/8481014,D,Defenseman,Defenseman
2,10,8481601,Simon Holmstrom,/api/v1/people/8481601,R,Right Wing,Forward
3,41,8470860,Jaroslav Halak,/api/v1/people/8470860,G,Goalie,Goalie
3,20,8475184,Chris Kreider,/api/v1/people/8475184,L,Left Wing,Forward
3,16,8476389,Vincent Trocheck,/api/v1/people/8476389,C,Center,Forward
3,93,8476459,Mika Zibanejad,/api/v1/people/8476459,C,Center,Forward
3,21,8476624,Barclay Goodrow,/api/v1/people/8476624,C,Center,Forward
3,8,8476885,Jacob Trouba,/api/v1/people/8476885,D,Defenseman,Defenseman
3,26,8476918,Jimmy Vesey,/api/v1/people/8476918,L,Left Wing,Forward
3,76,8477380,Jonny Brodzinski,/api/v1/people/8477380,C,Center,Forward
3,5,8477433,Ben Harpur,/api/v1/people/8477433,D,Defenseman,Defenseman
3,31,8478048,Igor Shesterkin,/api/v1/people/8478048,G,Goalie,Goalie
3,91,8478104,Sammy Blais,/api/v1/people/8478104,L,Left Wing,Forward
3,10,8478550,Artemi Panarin,/api/v1/people/8478550,L,Left Wing,Forward
3,23,8479323,Adam Fox,/api/v1/people/8479323,D,Defenseman,Defenseman
3,55,8479324,Ryan Lindgren,/api/v1/people/8479324,D,Defenseman,Defenseman
3,12,8479328,Julien Gauthier,/api/v1/people/8479328,R,Right Wing,Forward
3,25,8479333,Libor Hajek,/api/v1/people/8479333,D,Defenseman,Defenseman
3,15,8479991,Jake Leschyshyn,/api/v1/people/8479991,C,Center,Forward
3,72,8480078,Filip Chytil,/api/v1/people/8480078,C,Center,Forward
3,79,8480817,K'Andre Miller,/api/v1/people/8480817,D,Defenseman,Defenseman
3,74,8480833,Vitali Kravtsov,/api/v1/people/8480833,R,Right Wing,Forward
3,24,8481554,Kaapo Kakko,/api/v1/people/8481554,R,Right Wing,Forward
3,4,8482073,Braden Schneider,/api/v1/people/8482073,D,Defenseman,Defenseman
3,13,8482109,Alexis Lafrenière,/api/v1/people/8482109,L,Left Wing,Forward
4,89,8474715,Cam Atkinson,/api/v1/people/8474715,R,Right Wing,Forward
4,94,8475176,Ryan Ellis,/api/v1/people/8475176,D,Defenseman,Defenseman
4,14,8476461,Sean Couturier,/api/v1/people/8476461,C,Center,Forward
4,58,8479550,Tanner Laczynski,/api/v1/people/8479550,C,Center,Forward
4,61,8474027,Justin Braun,/api/v1/people/8474027,D,Defenseman,Defenseman
4,25,8474037,James van Riemsdyk,/api/v1/people/8474037,L,Left Wing,Forward
4,44,8475235,Nicolas Deslauriers,/api/v1/people/8475235,L,Left Wing,Forward
4,13,8475763,Kevin Hayes,/api/v1/people/8475763,C,Center,Forward
4,24,8476372,Nick Seeler,/api/v1/people/8476372,D,Defenseman,Defenseman
4,21,8476872,Scott Laughton,/api/v1/people/8476872,C,Center,Forward
4,55,8477499,Rasmus Ristolainen,/api/v1/people/8477499,D,Defenseman,Defenseman
4,38,8477887,Patrick Brown,/api/v1/people/8477887,C,Center,Forward
