id,name,link,teamName,locationName,firstYearOfPlay,division.id,conference.id
1,New Jersey Devils,/api/v1/teams/1,Devils,New Jersey,1982,18,6
2,New York Islanders,/api/v1/teams/2,Islanders,New York,1972,18,6
3,New York Rangers,/api/v1/teams/3,Rangers,New York,1926,18,6
4,Philadelphia Flyers,/api/v1/teams/4,Flyers,Philadelphia,1967,18,6
5,Pittsburgh Penguins,/api/v1/teams/5,Penguins,Pittsburgh,1967,18,6
6,Boston Bruins,/api/v1/teams/6,Bruins,Boston,1924,17,6
7,Buffalo Sabres,/api/v1/teams/7,Sabres,Buffalo,1970,17,6
8,Montréal Canadiens,/api/v1/teams/8,Canadiens,Montréal,1909,17,6
9,Ottawa Senators,/api/v1/teams/9,Senators,Ottawa,1990,17,6
10,Toronto Maple Leafs,/api/v1/teams/10,Maple Leafs,Toronto,1917,17,6
12,Carolina Hurricanes,/api/v1/teams/12,Hurricanes,Carolina,1979,18,6
13,Florida Panthers,/api/v1/teams/13,Panthers,Florida,1993,17,6
14,Tampa Bay Lightning,/api/v1/teams/14,Lightning,Tampa Bay,1991,17,6
15,Washington Capitals,/api/v1/teams/15,Capitals,Washington,1974,18,6
16,Chicago Blackhawks,/api/v1/teams/16,Blackhawks,Chicago,1926,16,5
17,Detroit Red Wings,/api/v1/teams/17,Red Wings,Detroit,1926,17,6
18,Nashville Predators,/api/v1/teams/18,Predators,Nashville,1997,16,5
19,St. Louis Blues,/api/v1/teams/19,Blues,St. Louis,1967,16,5
20,Calgary Flames,/api/v1/teams/20,Flames,Calgary,1980,15,5
21,Colorado Avalanche,/api/v1/teams/21,Avalanche,Colorado,1979,16,5
22,Edmonton Oilers,/api/v1/teams/22,Oilers,Edmonton,1979,15,5
23,Vancouver Canucks,/api/v1/teams/23,Canucks,Vancouver,1970,15,5
24,Anaheim Ducks,/api/v1/teams/24,Ducks,Anaheim,1993,15,5
25,Dallas Stars,/api/v1/teams/25,Stars,Dallas,1967,16,5
26,Los Angeles Kings,/api/v1/teams/26,Kings,Los Angeles,1967,15,5
28,San Jose Sharks,/api/v1/teams/28,Sharks,San Jose,1990,15,5
29,Columbus Blue Jackets,/api/v1/teams/29,Blue Jackets,Columbus,1997,18,6
30,Minnesota Wild,/api/v1/teams/30,Wild,Minnesota,1997,16,5
52,Winnipeg Jets,/api/v1/teams/52,Jets,Winnipeg,2011,16,5
53,Arizona Coyotes,/api/v1/teams/53,Coyotes,Arizona,1979,16,5
54,Vegas Golden Knights,/api/v1/teams/54,Golden Knights,Vegas,2016,15,5
55,Seattle Kraken,/api/v1/teams/55,Kraken,Seattle,2021,15,5
333,new team,no link,NT,nowhereland,2023-01-16 11:13:11.495434+03,666,
